,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
501,[F012,hdf K,W,"Rosenzweig, Franz","Rosenzweig, Rafael",1926-09-08,,,,"hdf Edith, ""Klammer auf, ein Küßchen, Klammer zu ...""  Ged.für Rafael zum 4. Geb.",,
502,[F013,Abs.ms K,B,"Rosenzweig, Franz","Markowicz, Ernst",1922-02-00,,"I,2 Nr. 711 ...",,"Dat GS;  Abs.ms, 'für Edith R.-Scheinmann 1. 12. 1954; Orig. in [F27!",,
"503,01","[F014,01",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-12-15,,"I,2 Nr. 1185",,zu Glatzers Verhältnis zu Rabbiner Nobel,,
"503,02","[F014,02",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-12-22,,,,Frage nach einem Midrasch zum Verlassen der Arche mit Loblied,,
"504,01","[F015,01",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1926-12-12,,,,wg. Recherche zur Gelehrtengeschichte des 18. Jhdts,,
"504,02","[F015,02",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-01-03,,"I,2  Nr.1123",,zu  einer Stelle in der Übersetzung; Dank für Glückwünsche,,
505,[F016,ms Korr K,B,"Rosenzweig, Franz","Stahl, Rudolf",1923-11-09,,"I,2 Nr. 890 ...",,zur Struktur des Lehrhauses,,
506,[F017,ms P K,B,"Rosenzweig, Franz u.a.","Stahl, Rudolf u.a.",1923-11-00,,"I,2 Nr. 889",,"Dat GS; zu Struktur / Organisation Lehrhaus U: FR.ms, Buber, Koch, Strauß",,
507,[F018,ms P K,B,"Rosenzweig, Franz","Stahl, Rudolf",1923-08-03,,"I,2 Nr. 873 ...",,Dat GS u. Lupe; Rolle Dr. Stahls im Lehrhaus,,
508,[F019,ms Korr K,B,"Rosenzweig, Franz","Stahl, Rudolf",1923-08-02,,"I,2 Nr. 872",,"Dat GS; hdf auf Brf:1. Aug. 1923; zum ""Fragegeist"" des Lehrhauses",,
509,[F020,ms Korr K,PK,"Rosenzweig, Franz","Stahl, Rudolf",1924-03-21,Frankfurt M.,"I,2 Nr. 911",,was man über Gott aussagen kann - '...negiert Negatives...' Dat in KurzL abw.,,
"510,01","[F021,01",hdf P K,B,"Rosenzweig, Franz","Stahl, Rudolf",1925-01-09,,"I,2 Nr. 985",,zur Schulwahl für Rafael - Philantropin?,,
"510,02","[F021,02",hdf P K,B,"Rosenzweig, Franz","Stahl, Rudolf",1927-01-07,,"I,2 Nr.1126",,U. in Kopie abgeschn.;zum Schutzengel Michael;zum Weltlichen und zum Heiligen,,
511,[F022,hdf P K,B,"Rosenzweig, Franz","Simon, Ernst",1922-11-30,Frankfurt M,"I,2 Nr. 831 ...",,zu Inhalten im Lehrhaus,,
512,"[F023,01",hdf P K,B,"Rosenzweig, Franz","Goldner, Martin",1927-10-19,,,,zu einer Edition,,
513,"[F023,02",hdf P K,B,"Rosenzweig, Franz","Goldner, Martin",1925-01-11,Frankfurt,"I,2 Nr. 986 ...",,"zu einem Beitrag üb jüd Jugendbewegung im ""Morgen"", soll Goldner ihn schreiben?",,
514,"[F023,03",hdf P K,B,"Rosenzweig, Franz","Goldner, Martin",1925-12-31,,"I,2 Nr. 1065",,über einen kritischen Brief an Dr. Koch,,
515,"[F023,04",hdf P K,B,"Rosenzweig, Franz","Goldner, Martin",1926-12-29,,"I,2 Nr. 1120 ...",,"zu Opfer u Gebet, Liebe und Freundschaft",,
516,"[F023,05",hdf P K,B,"Rosenzweig, Franz","Goldner, Martin",1927-05-11,,"I,2 Nr. 1143 ...",,was sind Erfahrungen; wie wirken sie apriorisch?,,
517,"[F024,01",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-08-00,,"I,2 Nr. 800",,Dat hdf auf Brf; zum Lehrhaus,,
518,"[F024,02",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-09-10,,"I,2 Nr. 810",,"Dat hdf auf Brf; Mittlg dass Rafael geboren, E. Simon soll der ""Sandak"" sein",,
519,"[F024,03",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-10-00,,"I,2 Nr. 823",,Dat hdf auf Brf; zu E. Strauß / E. Simon - Spannungen;,,
520,"[F024,04",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-08-00,,"I,2 Nr. 797 ...",,Dat hdf auf Brf; zum Lehrhaus - Darstellung der Geschichte d. Judentums,,
521,[F025,O,B,"Rosenzweig, Franz","Rosenzweig, Adele",1922-03-17,,"I,2 Nr. 715 ...",,zu einem Steuerkonflikt mit der Stadt Kassel und allerlei was anliegt.,,
522,"[F026,01",ms K,B,"Rosenzweig, Franz","Simon, Ernst",1923-05-00,,"I,2 Nr. 862",,Dat hdf auf Brf; Schreibübungen auf der neuen Schreibmasch.; erster Brief damit;,,
523,"[F026,02",K,B,"Rosenzweig, Franz","Simon, Ernst",1923-06-00,,"I,2 Nr. 865 ...",,"Dat hdf auf Brf; Bermerkungen zu Vorlesungen, die E. Simon gehalten hat",,
524,[F027,O,B,"Rosenzweig, Franz","Markowicz, Ernst",1922-02-00,,"I,2 Nr. 711 ...",,"Dat GS; ""ich bin übrigens krank""; zu Bibelverstehen; Abs.ms in [F13",,
525,"[F028,01",O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-01-00,,"I,2 Nr. 704 ...",,"Dat hdf auf Brf; zum Tod von Rabbiner Nehemia A. Nobel,  24. 01. 1922",,
526,"[F028,02",O,B,"Rosenzweig , Franz","Rosenzweig, Adele",1922-02-10,,"I,2 Nr. 708 ...",,Dat hdf auf Brf m.Vws auf PostStp; Symptome der beginnenden Krankheit,,
527,"[F028,03",O,B,"Rosenzweig, Franz","Rosenzweig, Adele",1921-12-18,,"I,2 Nr. 691 ...",,"zu Eugen R., E. Simon, Buber, Rothschild u.a.; Abs. eines Simontextes dch Edith",,
528,"[F029,01",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-00 00,,"I,2 Nr. 780 ...",,"Dat GS: Sommer 1922; ""Gleich nach Hawdala"" auf Brf hebr.; zum Progr Lehrhaus",,
529,"[F029,02",K,B,"Rosenzweig, Franz","Simon, Ernst",1922-01-00,,"I,2 Nr. 707 ...",,"Dat GS;""halber Mensch"" u. ""ganzer Mensch""; zur wahrhaftigen Selbsteinschätzg",,
530,"[F030,01",K,B,"Rosenzweig, Franz","Kahn, Mawrik",1919-10-00,,"I,2 Nr. 614 ...",,"Dat GS, ""undatiert, etwa Herbst 1919""; zum Umgang mit Vergangenem",,
531,"[F030,02",K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1920-03-13,,"I,2 Nr. 629 ...",,"Dat GS; Brf:13.II.20 ; FR beschreibt Edith Hahn, die Braut",,
532,"[F030,03",K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1919-09-24,Dat. In Kurzliste abw.,"I,2 Nr. 609",,Dat Brf u GS; gemeinsam Rosh Hashana feiern?-... dass einer vom andern weiß ...,,
533,"[F030,04",K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1920-09-20,,"I,2 Nr. 642",,"Vorschlag, Lehrer für jüdische Schüler zu werden in Litauen",,
534,"[F030,05",K,B,"Rosenzweig, Franz","Kahn,  Mawrik",1920-09-18,"FfM, Cronstetterstr. 9","I,2 Nr. 638 ...",,als studierter akademischer Lehrer nach Palästina?,,
535,"[F031,01",K,B,"Rosenzweig,  Franz","Raeburn,  Walter",1920-09-20,"FfM, Cronstetterstr. 9","I,2 Nr. 641 ...",,"Empf: Walter, geb. Regensburg, Vetter in London; zur Überwindg von Ablehnung",,
536,"[F031,02",ms Korr K,B,"Rosenzweig,  Franz","Raeburn,  Walter",1923-12-28,,"I,2 Nr. 899 ...",,"Empf: Walter, geb. als Regensburg, Vetter in London, hatte sich taufen lassen",,
537,[F032,ms Korr K,B,"Rosenzweig , Franz","Prager, Josef",1923-09-18,,"I,2 Nr. 885 ...",,beginnende Einschränkung; Umstellg beim Schreiben u zu Rafael,,
538,[F033,hdf P? K,B,"Rosenzweig,  Franz u. Ed.","Simon, Ernst",1924-12-00,,"I,2  Nr. 979 ...",,Brf.hdf:Edith; Empf:GS;zu Cohens Liberalismus;Edith lädt zu Chanukkafeier;Fragm?,,
"539,01","[F034,01",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-11-19,,,,Einzelfragen der Bibelübersetzung,,
"539,02","[F034,02",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-11-26,,"I,2 Nr. 1223 ...",,Einzelfragen der Bibelübersetzung,,
"[F034,03",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-05-28,,"I,2 Nr. 1243 ...",,"Bitte, zur Freitagabendfeier zu kommen",,,
,"[F034,04",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-24,,"I,2 Nr. 1252 ...",,"Einzelfragen der Bibelübersetzung, insbesd zum Gottesnamen",,
"539,05","[F034,05",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-27,,,,"Einzelfragen der Bibelübersetzung, insbesd zum Gottesnamen",,
"540,01","[F035,01",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-09-26,,"I,2 Nr. 1216",,Einladung zu Simchat Tauro und Fragen zu Übersetzung,,
"540,02","[F035,02",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-10-24,,"I,2 Nr. 1218",,"wehrt sich gegen Festlegung als Hegelianer, z.B.in der Zeitschrift Logos",,
"540,03","[F035,03",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-03-06,,"I,2 Nr. 1190",,"zu einem Geschenk mit arab. Musik und Glatzers Verkleidg mit ""Buberbart""",,
"540,04","[F035,04",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1928-09-02,,"I,2 Nr. 1212",,zur Auslegung einer Bibelstelle,,
"540,05","[F035,05",hdf P K,2 Be,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-19,,"I,2 Nr. 1250 ...",,"zu dem geplanten Aufsatz ""Der Ewige"" und zu Übers.Fragen, besd zu GottesNm",,
"540,06","[F035,06",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-10,,"I,2 Nr. 1249 ...",,zu Problemen bei der Übersetzung,,
"540,07","[F035,07",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-20,,"I,2 Nr. 1251",,"zum Namen des ""Ewigen""",,
"540,08","[F035,08",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-06-30,,"I,2 Nr. 1253",,Eine Klarstellung zu seinem Verhältnis zu Nobel und zum Zionismus,,
"540,09","[F035,09",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1929-09-03,,"I,2 Nr. 1264",,"""Sprachlose"" Kondolenz für Glatzer.",,
541,[F036,hdf P,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1929-08-05,,"I,2 Nr. 1260 ...",,"Empf: ""Mutter""; Zur Arbeit an ""Der Ewige""; zu Rafaels Sprach- u. Schreibfortschr.",,
542,"[F037,01",hdf P K,B,"Rosenzweig,  Franz","Strauß, Eduard",1926-03-15,,,,zur Sicherung der Organisation Lehrhaus,,
543,"[F037,02",hdf P K,B,"Rosenzweig, Franz","Strauß, Eduard",1927-05-27,,"I,2 Nr. 1153 ...",,"zur erhofften Mitarbeit von Franz  Wolf am ""Morgen""",,
544,[F038,hdf,W,"Rosenzweig, Franz","Rosenzweig, Edith",1926-01-23,FfM,"I,2 Nr. 1073",,"Dat GS; für Edith zu 3. Leonorenouverture - ""nun brichst du täglich mein Verließ""",,
545,[F039,hdf P K,B,"Rosenzweig, Franz","Rosenstock, Eugen",1929-10-04,,,S.823,"Dank für einen Aufsatz ""aus der Zeitenwende""; aber bitte keine Formeln!",,
546,"[F040,01",ms Korr K,B,"Rosenzweig, Franz","Simon, Ernst",1924-08-26,,"I,2 Nr. 952 ...",,"zu einem ""Jüdischen Heft"" für die Kameradenzeitschrift; zum Lernen locken",,
547,"[F040,02",hdf P K,B,"Rosenzweig, Franz","Simon, Ernst",1924-11-13,,"I,2 Nr. 968 ...",,"Brf hdf: Edith;  Bitte, mit F.R. zu lernen von und für Rabinkow",,
548,"[F040,03",hdf P K,B,"Rosenzweig, Franz","Simon,  Ernst",1926-12-18,,"I,2 Nr. 1114 ...",,"es geht nicht um subjektiv vs.objektiv, sond um den Schöpfer und die Geschöpfe",,
549,"[F041,01",ms Korr,B,"Rosenzweig,  Franz u. Ed.","Rosenzweig, Adele",1924-05-22,,"I,2 Nr. 931 ...",,"Empf: ""Mutter"", zum Keren Hajesod-Grundfond für das Aufbauwerk Palästina",,
550,"[F041,02",ms Korr,B,"Rosenzweig, Franz u. Ed.","Rosenzweig, Adele",1924-08-27,,"I,2 Nr. 953 ...",,"Empf:  ""Mutter""(Franz), ""Mama"" (Edith);zu ""Lehre"" und ""Gesetz""; aus dem Haushalt",,
551,[F042,ms Korr P,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1924-09-16,Dat in Kurzliste abw.,"I,2 Nr. 954 ...",S. 815 ...,"zu Rafaels Geb., zu Sprache und zum Schmerz fühlen",,
552,[F043,K,B,"Rosenzweig, Franz","Cohen, Hermann",1918-02-23,"Kassel, Terrasse 1","I,1 Nr. 486 ...",,Doppel in [E 36; Anmerkungen zu einem Entwf. f.Satzg der Akademie; vgl. [E33,,
553,[F044,K,B,"Rosenzweig, Franz","Prager, Josef",1922-01-00,,"I,2 Nr. 705 ...",,"Dat:nach Nobels Tod; Rabb. Nobel, gest. 24. 01. 1922 Ffm; Bl 4-6 Zitat Brf Hallo",,
554,[F045,hdf P? K,B,"Rosenzweig, Franz","Strauß, Eduard",1927-01-13,,"I,2 Nr. 1127 ...",,Empf GS;zum gespannten Verh zu Rothschild;zum Fortgang der Bibelübersetzung,,
555,"[F046,01",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1926-11-13,,,,zur gemeinsamen Arbeit,,
556,"[F046,02",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1926-11-15,,,,zur gemeinsamen Arbeit,,
557,"[F046,03",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1926-12-10,,,,zur gemeinsamen Arbeit,,
558,"[F046,04",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-05-16,,,,zur gemeinsamen Arbeit,,
559,"[F046,05",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-06-03,,,,zur gemeinsamen Arbeit,,
560,"[F046,06",hdf P K,B,"Rosenzweig, Franz","Glatzer, Nahum",1927-06-12,,,,zur gemeinsamen Arbeit,,
"561,01","[F047,01",hdf P,B,"Rosenzweig,  Franz","Ehrenberg, Eva",1924-12-19,,"I,2 Nr. 987",,"Eva Ehrenberg, geb. Sommer; Forts.15. 1. 1925; dass sie auf ""Karriere"" schaut",,
"561,02","[F047,02",hdf P,B,"Rosenzweig,  Franz","Ehrenberg, Eva",1925-01-19,,"I,2 Nr 990",,weiter zur Auseinandersetzg wg. Evas Haltung zum Beruf ihres Mannes Victor.,,
562,"[F048,01",hdf P K,B,"Rosenzweig, Franz","Buber, Martin",1925-05-00,,"I,2,Nr. 1090 ...",,"Fragm; Dat, Abs, Empf: GS; Zorn wg Bespr. ""im Anfang"" in Frkf Zeitung: L-M-I-A",,
563,"[F048,02",K,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1916-12-24,Feldpost,"I,1 Nr. 331 ...",,Seite 1 abgerissen; Dat GS: 1916-12-24 und 1916 -12-25,,
564,"[F048,03",K,B,"Rosenzweig, Franz","Scholem, Gerhard",1921-03-10,Frankf.M Schumannstr 10,"I,2 Nr.653",,"hier Fragment; zum ""Tischdank"" - von der Möglichkeit, zu übersetzten; GS vollstdg",,
565,"[F048,04",O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1921-00-00,Mannheim Wartesaal,"I,2 Nr. 656 ...",,"Empf: ""Mutter""; Dat hdf:""Frühjahr 1921""; zu Adeles Fortleben als Witwe",,
566,"[F048,05",K,B,"Strauß, Eduard","Buber, Martin",1929-07-14,,,,"Empf. hdf auf Brf; zur ""Logenbibel"" (Übersetzung als Gabe der Loge an Mitgl.)",,
567,"[F048,06",K,B,"Strauß, Eduard","Buber, Martin",1929-10-31,,,,"Abstimmung über Erscheinen der ""Logenbibel""",,
568,[F049,O,S,"Oppenheim, Gertrud","Rosenzweig, Rafael",1975-00-00,,,,"Absd: Schrft GO: [A27; Adr: ""Vater""=FR [A27; üb Fam Löb; Fragm.-6 Bl.;Dat geschl.",,
569,"[F050,01",O+Abs.ms,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1913-07-15,Leipzig,,,Dat: PosStp.;FR macht sich Sorge um Rudis Gesundheit,,
570,"[F050,02",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-02-01,,,,"Dat in KurzL abw; aber hdf eindeutig, arg:Absd will ""Mitte Februar hier fertig sein.""",,
571,"[F050,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-02-25,Kassel,,,Dat und Adr Couvert u. PostStp; zum Abschluss des Stern,,
572,"[F050,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-05,Mannheim,"I,2 595 ...",,"Dat Brf, Jahr hdf; PostStp.6.5.1919; zu Spengler u. zu Kassel",,
573,"[F050,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-03,Kassel,,,"zu einem Brief (von Gritli?) , den er Rudi bei aller Freundschaft  nicht gezeigt hat",,
574,"[F051,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-21,Heidelberg,"I,2 Nr. 597 ...",,"zu Rudi's Buch ""Ein Schicksal in Predigten""",,
575,"[F051,02",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-05-24,Rembertow / Warschau,,,"Ort Brf; Dat PostStp - F.A. Rembertow, 2. Lehrbatterie, Schießschule",,
576,"[F051,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-06-24,Berlin NW,,,"Dat PostStp; Interna der Freunde und Stern, Vgl. I,2 Nr. 600 an Hans Ehrenberg",,
577,"[F051,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-06-27,Berlin NW,,,"Dat PostStp; Interna und zu ""Predigten"".",,
578,"[F051,05",O,PK,"Beckerath, Emil","Rosenzweig, Franz",1919-07-03,Leipzig,,,"Absd PK, Aus Berlin nachgesandt nach Stuttgart; dort Gritli krank",,
579,"[F051,06",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-09,Stuttgart,,,Dat PostStp; zu Rudis Anmerkungen zu Stern III,,
,581,"[F052,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-10,Stuttgart,"I,2 Nr. 602 ...",,Dat hdf; GS abw.;PostStp.unleserlich; zu Rudis Verstehen von Stern III;,
,582,"[F052,03",O+K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-07-18,,,,"Kopie  nicht (mehr?) in Mappe; ein Ms. zu ""Predigten"" ging verloren",
,583,"[F052,04",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-07-20,auf  Fahrt nach Kassel,,,"Eilbrf, Eing. Göttingen 21. 7. 19; hohes Fieber; zu Rudis Stück  ""Die Schwester""",
,584,"[F052,05",O,PK,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-24,Kassel,"I,2  Nr. 603 ...",,Da PostStp; wie die Copyrightnotiz des Stern lauten soll. Vgl. Schluß des Stern,
,585,"[F052,06",O,PK,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-08-04,Kassel,,,eine Textkritik  - an welchem Werk?,
,"586,01","[F052,07",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-10,,,,über Kontakt zu Verleger für Predigten (?);  über Emil Beckerath,
,"586,02","[F052,08",K,B,Rosenstock Eugen,"Rosenzweig, Franz u.a.",1919-07-00,,,,"Signatur nachgetr.; Beitrag  Eugen zu den umlaufenden ""Predigten"" (an 'alle')",
,587,"[F053,01",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-17,,"I,2  Nr. 604 ...",,"zum Erscheinen des Stern in jüd. Verlag; zu einem  Konflikt mit Eugen, vgl.[F57,6",
,588,"[F053,02",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-20,,,,zum Stern; zur politischen Lage,
,589,"[F053,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-08-28,,,,"zum Konflikt mit Eugen Rosenstock; vgl. GS I,2 Nr.605",
,590,"[F053,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-08,Zug von HD nach WÜ,,,"Dat Brf; üb Vortrag in HD; s. GS I,2 S. 648",
,591,"[F053,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-04,Berlin,,,Bitte um Treffen; zu einer Begegnung mit Rudolf Hallo in Berlin,
,592,"[F054,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-05-14,Heidelberg,"I,2 Nr. 596 ...",,"Dat:PostStp. Zu den ""Predigten; zu R. Huchs ""Luther""; z. Hegelbuch; zu e.Gedicht",
,593,"[F054,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-13,Heidelberg,,,"Dat: PostStp; zum Gedicht ""Schutzengel""; davon fragmt. Abschr auf RckS; s.[R22",
,594,"[F054,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-15,Frankfurt,,,"nochmal zu den ""Schutzengeln"" - vollstdg Abs in [G8; Verlag des Stern?",
,595,"[F054,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-06,Kassel,,,"Bedtg v.""und""-zu einem relig. Text von Rudi - Paulus? s.[R24;""alle sollen es lesen"",",
,596,"[F054,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-08,Kassel,,,"zu einer Aufsatzreihe von Rudi zu Gaube, Liebe, Hoffnungi; ""Wahrheit ist piano""",
,597,"[F055,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-11,Frankfurt,,,zu Texten von Rudi; die Schutzengel; Persönliches; RückS.Couvert: Reiseroute,
,598,"[F055,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-09,Kassel,,,"Dat PostStp; wieder zu Rudi-Text; ""Man muß an das Publikum .. Briefe scheiben""",
,599,"[F055,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-10,Kassel,,,"wieder zu Rudi-Text. Die Hölle ist kalt. Persönliches; zu ""Schutzengel""",
,600,"[F055,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-14,Kassel,,,Dat PostStp; zur Übernahme der Bibl. eines verstb Rabbiners; zum Verlag f Stern,
,601,"[F055,05",O,B u. U,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-15,Kassel,,,Dat PostStp; Schutzengel-Text in der Synagoge; RückS: Urlaubsschein aus Belg.,
,602,"[F056,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-12-26,Kassel,,,"Verlag für Stern? ""Angst"" vor Vortrag;zur Hrsgb u. Bedeutg des Hegelbuchs",
,603,"[F056,02",O,PK,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-01-14,Kassel,,,"Bekanntmchg der Verlobg m Edith Hahn in Kassel; Erwähng der ""Schwester""",
,604,"[F056,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-01-15,Kassel,,,zur Finanzierung des Stern,
,605,"[F056,04",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-03-04,Frankfurt,,,zur Vorbereitung der Trauung in Berlin,
,606,"[F056,05",O,B,"Rosenzweig,  Franz u.Ad.","Ehrenberg, Rudolf",1920-03-19,Kassel,,,"Dat PostStp; Inhalt zwei  Brfe, einer m Dat: Abs.v Brf Adele; undat Stellungn. FR",
,607,"[F057,01",O,B,"Rosenzweig, Franz","Hahn,  Edith",1920-01-05,auf Bahn (Ffm-KS?),,,Edith Hahn:  Ein Tg vor der Verlobg am 06.01.1920; über Ed. Strauß; o.U.; Fragm?,
,608,"[F057,02",O,B,"Rosenzweig,  Franz u. Ad.","Ehrenberg, Rudolf",1920-03-23,Kassel,,,Dat PostStp; über die Reise zur Hochzeit nach Berlin;Adeles Bedenken zur Reise,
,609,"[F057,03",O,B,Ehrenberg/Rosenzweig,Rudolf / Franz,1920-04-15,Berlin / Kassel,,,Ein BriefW auf einem  Blatt; Antw. FR 16.04.1920 PostStp; zu  Krankht Adele,
,610,"[F057,04",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-05-05,Frankfurt,,,zum Beginn der LH-Kurse; zum Erscheinugnsbild des Stern;  Ersch. des Hegel,
,611,"[F057,05",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-05-01,Heidelberg,,,Jahr hdf; Verhältnis zu Adele; zu Viktor v. Weizsäcker,
,612,"[F057,06",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-25,,"I,2 Nr. 605 ...",,zu Konflikt mit Eugen ü. Judesein/Christsein; Geheimnis zw. Freunden?Antw[R11,
,613,"[F058,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-10-08,Frankfurt,,,"zu einem Werk R. Ehrenbergs, hier dritter Teil; rundschicken; Titel? (Schwester?)",
,614,"[F058,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-10-11,Frankfurt,,,zu Vortrag ü Anthroposophie; zu Wohnungsnot in Ffm,
,615,"[F058,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-11-18,Frankfurt,,,"Dat Bahnpost Ffm-KS; schreibt aus einer Vorlesung; ""ich komme zu nichts""",
,616,"[F058,04",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1921-07-17,Schopfheim,"I,2 Nr. 668 ...",,"Dat hdf u PostStp; zu Biol g u Mathematik, Nat.wiss.schaft und Philos; Antw. [R95",
,617,"[F058,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-03-03,Frankfurt,"I,2 Nr. 712 ...",,"Dat PostStp; Antwort auf [R98 - zur Krankheit; ""keiner kann sich ein Bild machen""",
,618,"[F058,06",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-04-30,,,,zur schlechten finanziellen Lage der Rosenstocks; Sinnen auf Hilfe; z  Krankheit,
,619,"[F059,01",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-05-10,Frankfurt,"I,2 Nr 746",,Dat hdf; Antwort auf [R100; zu einer von Rudi vorgeschl. Therapie; Versuch ?,
,620,"[F059,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-17,Frankfurt,,,"Dat hdf u PostStp; Kochs Diagnosen, Rudis Therapievorschlag s. [[R100 ff",
,621,"[F059,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-05-29,Frankfurt,"I,2 Nr. 761 ...",,"Dat hdf u PostStp; zu Therapieversuchen nach Rudi, s. [R102; zu  Mutters Sorgen.",
,622,"[F059,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-11,Frankfurt,"I,2 Nr. 787 ...",,Dat hdf u PostStp; zu d Therapien. Das Reden fällt schwer; Fragment; vgl. GS,
